VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Creation date,Change Version,CPUs,Memory,NICs,Disks,min Required EVC Mode Key,Latency Sensitivity,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder,vApp,DAS protection,FT State,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server type,VI SDK API Version,CategoryBackup,SharePoint,VI SDK Server,VI SDK UUID
ABGSCRUBSP122VM,poweredOn,FALSE,FALSE,green,ABGSCRUBSP122VM.nbhdhqdomain.nbhd.org,connected,running,green,FALSE,2023/09/19 16:03:18,,2023/09/08 12:52:40,2023/09/27 11:38:26,6,"16,384",1,1,intel-haswell,normal,TRUE,TRUE,10.60.23.165,DVS-SERVER-1193,,,,,,,,1,"16,384",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Application Servers Non-Clinical,,TRUE,notConfigured,gray,-1,-1,"171,848","52,280","50,344",medium,none,vmMonitoringDisabled,,,FALSE,0,"10,000",FALSE,FALSE,bios,19,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ABGSCRUBSP122VM/ABGSCRUBSP122VM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ABGSCRUBSP122VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ABGSCRUBSP122VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] ABGSCRUBSP122VM/,Nessus Scan Successfully Remediated 3/1/2022 - CP Last MS Patches February 2022  3.13.23 - Changed Power Settings - CP,"Thu Oct  5 19:41:04 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode12.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-2093,500dfec9-a786-314d-df5b-d5c87df76069,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
BASTION0222VM,poweredOn,FALSE,FALSE,green,BASTION0222VM.nbhdhqdomain.nbhd.org,connected,running,green,FALSE,2023/09/28 2:19:07,,2023/07/24 14:33:56,2023/09/27 11:38:26,4,"16,384",1,2,intel-haswell,normal,TRUE,TRUE,10.60.6.66,DVS-APPLICATION-1130,,,,,,,,1,"16,384",/VxRail-Datacenter/VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32/Resources,/VxRail-Datacenter/Virtualization Technologies - Microsoft,,TRUE,notConfigured,gray,-1,-1,"556,556","42,684","40,040",medium,none,vmMonitoringDisabled,,,FALSE,0,"10,000",FALSE,FALSE,bios,19,none,never,,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] EVTUTIL222VM/EVTUTIL222VM.vmx,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] EVTUTIL222VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] EVTUTIL222VM/,[VxRail-Virtual-SAN-Datastore-1ace252b-8d79-43a9-9c01-cf6cff9e5c32] EVTUTIL222VM/,Jump Box for DSA in ISC. RITM0432758 CV.,"Thu Oct  5 19:41:07 2023 -0400,nbumaster-isc.nbhdhqdomain.nbhd.org,VMware_ISCVCSRVRAIL",VxRail-Datacenter,VxRail-Virtual-SAN-Cluster-1ace252b-8d79-43a9-9c01-cf6cff9e5c32,iscvxnode06.nbhdhqdomain.nbhd.org,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-1128,500d4ce8-921f-d725-555c-46f8844dd592,VMware vCenter Server 7.0.3 build-21477706,7.0.3.0,,,iscvcsrvrail.nbhdhqdomain.nbhd.org,6bc373d9-1fa4-43fc-a26b-57d6532ad666
